tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
432,2013-09-16T19:22:43,2013-09-16T19:29:55,509,9 Ave & W 22 St,407.454.973,-7.400.197.139,442,W 27 St & 7 Ave,40.746.647,-73.993.915,18447,Subscriber,1951,male,
1186,2015-12-30T13:02:38,2015-12-30T13:22:25,280,E 10 St & 5 Ave,4.073.331.967,-7.399.510.132,254,W 11 St & 6 Ave,4.073.532.427,-7.399.800.419,22598,Subscriber,1945,female,
799,2017-09-02T16:27:37,2017-09-02T16:40:57,335,Washington Pl & Broadway,4.072.903.917,-7.399.404.649,540,Lexington Ave & E 29 St,4.074.311.555.376.480,-7.398.215.353.488.920,28833,Subscriber,1997,male,
238,2017-11-15T06:57:09,2017-11-15T07:01:08,146,Hudson St & Reade St,4.071.625.008,-740.091.059,387,Centre St & Chambers St,4.071.273.266,-740.046.073,21338,Subscriber,1998,female,
668,2013-11-07T15:12:07,2013-11-07T15:23:15,529,W 42 St & 8 Ave,407.575.699,-7.399.098.507,352,W 56 St & 6 Ave,4.076.340.613,-7.397.722.479,19888,Subscriber,1949,male,
593,2013-08-25T13:47:24,2013-08-25T13:57:17,470,W 20 St & 8 Ave,4.074.345.335,-7.400.004.031,252,MacDougal St & Washington Sq,4.073.226.398,-7.399.852.205,17859,Subscriber,1939,male,
414,2018-05-29T16:33:26.488000,2018-05-29T16:40:21.206000,3158,W 63 St & Broadway,4.077.163.851,-7.398.261.428,3167,Amsterdam Ave & W 73 St,4.077.966.809.007.310,-7.398.093.044.757.840,19198,Subscriber,1952,male,
1643,2014-02-07T20:24:02,2014-02-07T20:51:25,519,Pershing Square N,4.075.188.406,-7.397.770.164,147,Greenwich St & Warren St,4.071.542.197,-7.401.121.978,18718,Subscriber,1947,male,
474,2017-10-06T12:17:06,2017-10-06T12:25:00,470,W 20 St & 8 Ave,4.074.345.335,-7.400.004.031,496,E 16 St & 5 Ave,4.073.726.186,-7.399.238.967,14823,Subscriber,1996,male,
2277,2014-09-11T05:46:58,2014-09-11T06:24:55,487,E 20 St & FDR Drive,4.073.314.259,-7.397.573.881,487,E 20 St & FDR Drive,4.073.314.259,-7.397.573.881,18116,Subscriber,1946,male,
